gene,cell_pathway
Abca1,ApoA
Ackr1,CCL
Ackr1,CXCL
Ackr2,CCL
Ackr3,CXCL
Ackr3,MIF
Ackr4,CCL
Acvr1,TGFb
Acvr1,BMP
Acvr1,AMH
Acvr1b,TGFb
Acvr1b,GDF
Acvr1b,MSTN
Acvr1b,NODAL
Acvr1b,ACTIVIN
Acvr1c,TGFb
Acvr1c,NODAL
Acvr1c,ACTIVIN
Acvr2a,BMP
Acvr2a,BMP10
Acvr2a,GDF
Acvr2a,MSTN
Acvr2a,NODAL
Acvr2a,ACTIVIN
Acvr2b,BMP
Acvr2b,GDF
Acvr2b,MSTN
Acvr2b,NODAL
Acvr2b,ACTIVIN
Acvrl1,BMP10
Adcyap1r1,PACAP
Adgra2,ADGRA
Adgrb1,ADGRB
Adgre5,ADGRE
Adgrg1,ADGRG
Adgrg6,ADGRG
Adgrl1,ADGRL
Adgrl2,ADGRL
Adgrl3,ADGRL
Adipor1,ADIPONECTIN
Adm,ADM
Adora1,CD39
Adora1,Adenosine
Adora2a,CD39
Adora2a,Adenosine
Adora2b,CD39
Adora2b,Adenosine
Adra1a,Adrenaline
Adra1a,Noradrenaline
Adra1b,Adrenaline
Adra1b,Noradrenaline
Adra2a,Adrenaline
Adra2a,Noradrenaline
Adrb1,Adrenaline
Adrb1,Noradrenaline
Adrb2,Adrenaline
Adrb2,Noradrenaline
Adrb3,Adrenaline
Adrb3,Noradrenaline
Agt,AGT
Agtr1a,AGT
Agtr1b,AGT
Agtr2,AGT
Alk,MK
Alk,PTN
Amh,AMH
Amhr2,AMH
Aplnr,APELIN
Aplnr,APJ
Apoa1,ApoA
Apob,ApoB
App,APP
Ar,Androstenedione
Ar,DHT
Ar,Testosterone
Avpr1b,AVP
Avpr2,AVP
Axl,GAS
Axl,PROS
Axl,TULP
Bdkrb1,BRADYKININ
Bdkrb2,BRADYKININ
Bdnf,NT
Bmpr1a,BMP
Bmpr1a,AMH
Bmpr1b,BMP
Bmpr1b,AMH
Bmpr2,BMP
Bmpr2,BMP10
Bmpr2,GDF
C1ql1,ADGRB
C3ar1,COMPLEMENT
C5ar1,COMPLEMENT
Cadm1,CADM
Cadm3,CADM
Cadm3,NECTIN
Calcr,ADM
Calcr,CALC
Calcr,IAPP
Calcrl,ADM
Calcrl,CALC
Calcrl,IAPP
Cbln1,Glutamate
Cckbr,CCK
Ccr1,CCL
Ccr10,CCL
Ccr2,CCL
Ccr3,CCL
Ccr4,CCL
Ccr5,CCL
Ccr6,CCL
Ccr7,CCL
Ccr9,CCL
Cd160,CD160
Cd177,PECAM1
Cd1d1,CEACAM
Cd200,CD200
Cd200r1,CD200
Cd209a,CEACAM
Cd209a,ICAM
Cd209b,CEACAM
Cd209d,CEACAM
Cd22,CD45
Cd226,NECTIN
Cd226,PVR
Cd244a,CD48
Cd27,CD70
Cd274,CD80
Cd276,CD276
Cd28,CD80
Cd28,CD86
Cd28,ICOS
Cd34,SELL
Cd36,THBS
Cd38,PECAM2
Cd4,IL16
Cd4,MHC-II
Cd40,CD40
Cd44,MIF
Cd44,SPP1
Cd44,GALECTIN
Cd44,COLLAGEN
